file_id,utterance_idx,word_idx,word,language_tag,utterance_lang,transcript
train_337_0.wav,0,0,Fridge,EN,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,1,repair,EN,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,2,ho,HI,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,3,gaya,HI,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,4,!,OTHER,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,5,Start,EN,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,6,kar,HI,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,7,raha,HI,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,8,hu,HI,CSW,Fridge repair ho gaya! Start kar raha hu.
train_337_0.wav,0,9,.,OTHER,CSW,Fridge repair ho gaya! Start kar raha hu.
train_91_2.wav,1,0,Mendhak,HI,HI,Mendhak kaam aaega?
train_91_2.wav,1,1,kaam,HI,HI,Mendhak kaam aaega?
train_91_2.wav,1,2,aaega,HI,HI,Mendhak kaam aaega?
train_91_2.wav,1,3,?,OTHER,HI,Mendhak kaam aaega?
train_213_4.wav,2,0,haan,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,1,!,OTHER,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,2,jab,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,3,sahil,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,4,ko,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,5,pta,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,6,chalega,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,7,tab,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,8,wo,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,9,tumhe,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,10,court,EN,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,11,me,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,12,to,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,13,ghaseet,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,14,ke,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,15,le,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,16,hi,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,17,jaega,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,18,na,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,19,divorce,EN,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,20,ke,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,21,liye,HI,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_213_4.wav,2,22,.,OTHER,CSW,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.
train_249_3.wav,3,0,Aur,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,1,Sahil,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,2,kal,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,3,wapas,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,4,aa,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,5,gaya,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,6,toh,HI,HI,Aur Sahil kal wapas aa gaya toh?
train_249_3.wav,3,7,?,OTHER,HI,Aur Sahil kal wapas aa gaya toh?
train_193_0.wav,4,0,Well,EN,EN,"Well, he was a darling."
train_193_0.wav,4,1,",",OTHER,EN,"Well, he was a darling."
train_193_0.wav,4,2,he,EN,EN,"Well, he was a darling."
train_193_0.wav,4,3,was,EN,EN,"Well, he was a darling."
train_193_0.wav,4,4,a,EN,EN,"Well, he was a darling."
train_193_0.wav,4,5,darling,EN,EN,"Well, he was a darling."
train_193_0.wav,4,6,.,OTHER,EN,"Well, he was a darling."
