feature,success,n_obs,n_groups,interlocutor_age_ref,"coef::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.Older]","coef::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.unknown]","p::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.Older]","p::C(interlocutor_age_bucket, Treatment(reference='Younger'))[T.unknown]"
F0msemax,True,2420,51,Younger,-42.39272930709646,-163.97230080138104,0.23163155632325538,0.7227751266707181
F0tiltmin,True,2420,51,Younger,53.7582778917633,273.6601260767914,0.014845018609786256,0.07690009949693288
F0tiltmax,True,2420,51,Younger,-34.76479924157498,-15.93920676770864,0.10488555644056824,0.7799838815223589
F0msestd,True,2420,51,Younger,1.6258337877686397,-32.211221331922005,0.8935905364406027,0.8481946166899842
F0mseavg,True,2420,51,Younger,13.569854162576275,80.5286822562588,0.11087658376805787,0.6585968844753759
F0tiltstd,True,2420,51,Younger,-14.48209402303588,-11.345193720937482,0.17374606567489947,0.5906267899822613
F0tiltavg,True,2420,51,Younger,3.6037014578586803,98.99776630943528,0.49887962413487774,0.02634715153369792
avgtiltEunvoiced,True,2420,51,Younger,-13.476996471406935,-38.72742485962374,5.548217862215284e-12,0.5043065745649211
kurtosisEunvoiced,True,2420,51,Younger,-6.054939706909907,-1.854582102425681,0.11654311010016602,0.954903778062649
F0msemin,True,2420,51,Younger,6.129986140865363,23.127550996918856,0.12378407135093372,0.02407719547102372
1F0max,True,2420,51,Younger,0.1556772104450279,8.500350843229743,0.96316644849503,0.6133907386880784
lastF0max,True,2420,51,Younger,-0.8447703171533748,56.06814236347116,0.8246298561484625,0.006304763351304417
1F0mean,True,2420,51,Younger,-2.1420916175259617,25.347081888253246,0.5137860542704142,0.10561026494020845
lastF0avg,True,2420,51,Younger,-2.4485884594802325,49.027783122245275,0.42143932740456413,0.05477143079865453
lastF0min,True,2420,51,Younger,-4.18096600643884,27.497453223544667,0.15274086408334572,0.3619256695773372
1F0min,True,2420,51,Younger,-3.9121674531232595,44.45867583542137,0.2901376013565319,0.004499868648491652
maxdurvoiced,True,2420,51,Younger,-4.093335056054379,-27.314183834288496,0.000980943033046765,0.10394340657389346
F0max,True,2420,51,Younger,-1.4828571895853744,10.098298001674584,0.5393475678195243,9.296884733404009e-08
kurtosisdurvoiced,True,2420,51,Younger,3.2194441803250777,18.445870192753286,0.0001117205555055027,0.006189133291254543
F0avg,True,2420,51,Younger,-2.4633913053992984,10.342525526903032,0.32251475110731365,0.3502769324339259
F0min,True,2420,51,Younger,0.5278092708967967,17.513962389388716,0.7254808203782751,0.05151887188699045
1F0std,True,2420,51,Younger,1.0519763956078891,-11.104545664331788,0.12071158211886379,5.981832178223671e-06
lastF0std,True,2420,51,Younger,0.8406941029033058,6.514403197212644,0.11258829238475132,0.22350304861877834
max1Eunvoiced,True,2420,51,Younger,1.1842070471579669,11.733480126060904,0.0006093790942819764,0.027257580735803706
F0std,True,2420,51,Younger,-0.36301247804164477,2.5000684000910907,0.5599207987687971,0.75221529712973
maxlastEunvoiced,True,2420,51,Younger,1.2093411505844882,14.012824742699962,0.0008910410072629624,0.0010262395575697774
kurtosismseEunvoiced,True,2420,51,Younger,0.9666649322751658,10.01689681820747,0.008279907745519921,0.050158209802536935
kurtosis1Eunvoiced,True,2420,51,Younger,1.0030434400519659,12.927547395498703,0.01084968863369638,0.0003032585765672936
std1Eunvoiced,True,2420,51,Younger,0.8771491067650764,7.195993857257656,0.023479509402088976,0.16771486201781138
stdlastEunvoiced,True,2420,51,Younger,0.7750316929253955,10.3565076777469,0.06571467388276084,0.0011009473013986308
