feature,n_obs,n_speakers,coef_gender_diff_vs_same,p_gender_diff_vs_same,coef_interlocutorOlder_vs_Younger,p_interlocutorOlder_vs_Younger
F0msemax,2415,50,-35.095943078905506,0.631016785722067,-39.81475307504476,0.2622319432713647
F0tiltmin,2415,50,-22.814561217991344,0.30051877299326035,55.44596817064038,0.012106072514219687
F0tiltmax,2415,50,-13.38936158550427,0.3736321638169199,-33.80701084787486,0.10659673082728129
F0msestd,2415,50,-8.054382058286311,0.7698938942565217,2.264699991534491,0.8548168341384981
F0mseavg,2415,50,-5.088408603938448,0.8037433812207337,14.021757208993098,0.12569661551852654
F0tiltstd,2415,50,3.2346351682576393,0.7124148934337642,-14.719171784534664,0.1624045715443163
F0tiltavg,2415,50,-13.920247809018274,0.001529779940461005,4.597082743125257,0.35528006030776127
avgtiltEunvoiced,2415,50,-5.233992998886212,0.27470182944861465,-13.096517768347512,1.4349922974014685e-09
kurtosisEunvoiced,2415,50,2.8809475904498005,0.4313099245905805,-6.24390430185297,0.08868962102031959
F0msemin,2415,50,-3.066054521392506,0.2662260268841491,6.351723684202185,0.11295979494616916
1F0max,2415,50,0.9185404681806113,0.8597860517429841,0.09988045634223489,0.9768890714698389
lastF0max,2415,50,4.311857888600762,0.5612645174969831,-1.151712471026699,0.7473811329256813
1F0mean,2415,50,0.6315669393523405,0.88711366609837,-2.1790766254638085,0.5221343093885049
1F0min,2415,50,0.3704459365779821,0.931584936293744,-3.9318867638581265,0.31100644413464806
lastF0avg,2415,50,3.2889427645934997,0.5985829552144186,-2.6835139003212363,0.36665261868574883
lastF0min,2415,50,0.788788726808792,0.8744760800552245,-4.240662425627866,0.14191977881020357
F0max,2415,50,4.319366944660647,0.13921478172140384,-1.7872859413169238,0.393912446336526
maxdurvoiced,2415,50,1.5521826017521,0.49906547301796766,-4.20909537262144,0.0008350743218301168
kurtosisdurvoiced,2415,50,-1.7522864535293476,0.29579685411270906,3.3448042744375543,0.00021863862682466086
F0avg,2415,50,0.06496756319533065,0.9859830540143477,-2.46181191736528,0.36534184764347866
F0min,2415,50,-0.8229176170277459,0.7818630441787149,0.5905940196307824,0.7341969848122174
1F0std,2415,50,0.25408924782553,0.6805822021187629,1.034954637063127,0.11377587541386872
lastF0std,2415,50,1.6375565385725452,0.054457591885034067,0.724891333336365,0.08146512689505447
max1Eunvoiced,2415,50,0.10824142902159761,0.8479896256935918,1.176329551321264,0.0008149242259520775
F0std,2415,50,2.430218530144384,0.0012829718117858195,-0.5374339248621628,0.24710483426922691
maxlastEunvoiced,2415,50,1.079828345304629,0.06038650720316496,1.1332980459061586,3.869784528438685e-06
kurtosismseEunvoiced,2415,50,0.003811141004539327,0.9940428145884038,0.9655482112106536,0.009175670938229227
kurtosis1Eunvoiced,2415,50,0.8622294662647604,0.06704446654737238,0.9423863688708264,0.0008871990122826961
std1Eunvoiced,2415,50,-0.15416165550513516,0.7758984359588997,0.8867140277693258,0.02577680906826829
stdlastEunvoiced,2415,50,0.6007572029899668,0.052622927785815315,0.7328977910892115,0.032271511167448315
