feature,n_obs,n_speakers,coef_interaction,p_interaction,p_adj_fdr_interaction
F0msemax,2415,50,2.4164041482212997,0.980828747680387,0.9984248781057299
F0tiltmin,2415,50,-0.1253758912952295,0.9984248781057299,0.9984248781057299
F0tiltmax,2415,50,47.043174870229315,0.22031234119474175,0.9984248781057299
F0msestd,2415,50,-3.837418217222167,0.9108341802940016,0.9984248781057299
F0mseavg,2415,50,-22.817175811048482,0.44464592546660375,0.9984248781057299
F0tiltstd,2415,50,2.64266417238525,0.9221198008704669,0.9984248781057299
F0tiltavg,2415,50,5.003368022008934,0.6665307414913213,0.9984248781057299
avgtiltEunvoiced,2415,50,6.756894499199377,0.31669232760377664,0.9984248781057299
kurtosisEunvoiced,2415,50,-10.392905963940622,0.25399566543723584,0.9984248781057299
F0msemin,2415,50,-7.070904113641987,0.3607221210301653,0.9984248781057299
1F0max,2415,50,-0.36898466744993513,0.9469017161090811,0.9984248781057299
lastF0max,2415,50,-6.447764885131773,0.5479201222726873,0.9984248781057299
1F0mean,2415,50,0.09520241119676068,0.9862288340358144,0.9984248781057299
1F0min,2415,50,-1.0948997099774715,0.8662122900441707,0.9984248781057299
lastF0avg,2415,50,-3.9051133138384744,0.6948178034666497,0.9984248781057299
lastF0min,2415,50,1.619128215080283,0.8644058776631676,0.9984248781057299
F0max,2415,50,-2.4771865426598816,0.6285316430749748,0.9984248781057299
maxdurvoiced,2415,50,-0.7661249599169451,0.812307895227248,0.9984248781057299
kurtosisdurvoiced,2415,50,-1.3659983222660401,0.7491652733766244,0.9984248781057299
F0avg,2415,50,-3.5721473686588774,0.4638846234065438,0.9984248781057299
F0min,2415,50,-3.3457638695647822,0.31147879650457944,0.9984248781057299
1F0std,2415,50,0.8835028500333555,0.6151182217599648,0.9984248781057299
lastF0std,2415,50,-3.1411939225713366,0.008267280240026586,0.24801840720079757
max1Eunvoiced,2415,50,-1.9381995933500242,0.07540237737177037,0.9984248781057299
F0std,2415,50,0.4245242433280168,0.7981297659961574,0.9984248781057299
maxlastEunvoiced,2415,50,-0.6595645507763609,0.5264108907174405,0.9984248781057299
kurtosismseEunvoiced,2415,50,-1.7180573979743676,0.10011160565187852,0.9984248781057299
kurtosis1Eunvoiced,2415,50,-0.4057041672489345,0.6248572280779906,0.9984248781057299
std1Eunvoiced,2415,50,-0.8639813580305008,0.41969850952027465,0.9984248781057299
stdlastEunvoiced,2415,50,-0.2887486635873786,0.6851312475065336,0.9984248781057299
