feature,success,n_obs,n_groups,coef_malaysian_vs_singaporean,p_malaysian_vs_singaporean
F0msemax,True,52313,65,-207.85234426889448,0.0
F0tiltmin,True,52313,65,-27.664202919718534,4.104219662693868e-18
F0mseavg,True,52313,65,-144.25002814675304,0.0
F0msemin,True,52313,65,-83.69915711022375,2.54376148918267e-162
F0tiltmax,True,52313,65,-2.6240900483777234,0.19761642439131966
F0tiltavg,True,52313,65,-3.3059610968947446,0.09739523229847791
F0tiltstd,True,52313,65,-0.18907027089104494,0.9015323809323177
F0msestd,True,52313,65,-62.20525649342031,0.0
kurtosisEunvoiced,True,52313,65,-14.85099081247235,7.519451464251213e-73
avgtiltEunvoiced,True,52313,65,-35.615404487962245,0.0
1F0max,True,52313,65,6.379401906637764,4.875603645848219e-26
F0max,True,52313,65,-6.182168468914308,5.0607272071663233e-23
